fdc_id,description,protein_per_100g
321358,"Hummus, commercial",7.35
321360,"Tomatoes, grape, raw",0.83
321611,"Beans, snap, green, canned, regular pack, drained solids",1.04
323121,"Frankfurter, beef, unheated",11.7
323294,"Nuts, almonds, dry roasted, with salt added",20.4
323505,"Kale, raw",2.92
323604,"Egg, whole, raw, frozen, pasteurized",12.3
323697,"Egg, white, raw, frozen, pasteurized",10.1
323793,"Egg, white, dried",79.9
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",4.52
324653,"Pickles, cucumber, dill or kosher dill",0.48
325036,"Cheese, parmesan, grated",29.6
325198,"Cheese, pasteurized process, American, vitamin D fortified",18.0
325287,"Grapefruit juice, white, canned or bottled, unsweetened",0.55
325430,"Peaches, yellow, raw",0.91
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",21.0
325871,"Bread, white, commercially prepared",9.43
326196,"Kale, frozen, cooked, boiled, drained, without salt",2.94
326698,"Mustard, prepared, yellow",4.25
327046,"Kiwifruit, green, raw",1.06
327357,"Nectarines, raw",1.06
328637,"Cheese, cheddar",23.3
328841,"Cheese, cottage, lowfat, 2% milkfat",11.0
329370,"Cheese, mozzarella, low moisture, part-skim",23.7
329490,"Egg, whole, dried",48.1
329596,"Egg, yolk, raw, frozen, pasteurized",15.6
329716,"Egg, yolk, dried",34.2
330137,"Yogurt, Greek, plain, nonfat",10.3
330415,"Yogurt, Greek, strawberry, nonfat",8.06
330458,"Oil, coconut",0.0
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",23.9
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",32.1
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",1.41
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",16.7
332791,"Olives, green, Manzanilla, stuffed with pimiento",1.15
333008,"Cookies, oatmeal, soft, with raisins",5.79
333281,"Tomatoes, canned, red, ripe, diced",0.84
333374,"Fish, haddock, raw",16.3
333476,"Fish, pollock, raw",12.3
334194,"Fish, tuna, light, canned in water, drained solids",19.0
334536,"Restaurant, Chinese, fried rice, without meat",3.84
334628,"Restaurant, Latino, tamale, pork",7.38
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",5.59
335240,"Bread, whole-wheat, commercially prepared",12.3
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",27.7
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",22.8
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.4
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.7
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",22.7
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",27.3
746764,"Carrots, frozen, unprepared",0.81
746765,"Cheese, dry white, queso seco",24.5
746766,"Cheese, ricotta, whole milk",7.81
746767,"Cheese, swiss",27.0
746768,"Figs, dried, uncooked",3.3
746769,"Lettuce, cos or romaine, raw",1.24
746770,"Melons, cantaloupe, raw",0.82
746771,"Oranges, raw, navels",0.91
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38
746773,"Pears, raw, bartlett",0.38
746774,"Restaurant, Chinese, sweet and sour pork",8.88
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43
746777,"Sauce, salsa, ready-to-serve",1.44
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.36
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",13.3
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",18.2
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",19.3
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",3.27
746783,"Sausage, turkey, breakfast links, mild, raw",16.7
746784,"Sugars, granulated",0.0
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",27.1
746952,"Ham, sliced, restaurant",19.6
747429,"Cheese, American, restaurant",17.5
747430,"Beans, Dry, Medium Red (0% moisture)",25.5
747431,"Beans, Dry, Red (0% moisture)",21.3
747432,"Beans, Dry, Flor de Mayo (0% moisture)",23.3
747433,"Beans, Dry, Brown (0% moisture)",25.6
747434,"Beans, Dry, Tan (0% moisture)",26.8
747435,"Beans, Dry, Light Tan (0% moisture)",24.6
747436,"Beans, Dry, Carioca (0% moisture)",25.2
747437,"Beans, Dry, Cranberry (0% moisture)",24.4
747438,"Beans, Dry, Light Red Kidney (0% moisture)",25.0
747439,"Beans, Dry, Pink (0% moisture)",23.4
747440,"Beans, Dry, Dark Red Kidney (0% moisture)",25.9
747441,"Beans, Dry, Navy (0% moisture)",24.1
747442,"Beans, Dry, Small White (0% moisture)",24.5
747443,"Beans, Dry, Small Red (0% moisture)",23.5
747444,"Beans, Dry, Black (0% moisture)",24.4
747445,"Beans, Dry, Pinto (0% moisture)",23.7
747446,"Beans, Dry, Great Northern (0% moisture)",24.7
747447,"Broccoli, raw",2.57
747693,"Ketchup, restaurant",1.11
747997,"Eggs, Grade A, Large, egg white",10.7
748236,"Eggs, Grade A, Large, egg yolk",16.2
748967,"Eggs, Grade A, Large, egg whole",12.4
749420,"Pork, cured, bacon, cooked, restaurant",40.9
789890,"Flour, wheat, all-purpose, enriched, bleached",10.9
789951,"Flour, wheat, all-purpose, enriched, unbleached",13.1
790018,"Flour, wheat, all-purpose, unenriched, unbleached",12.0
790085,"Flour, whole wheat, unenriched",15.1
790146,"Flour, bread, white, enriched, unbleached",14.3
790214,"Flour, rice, white, unenriched",6.94
790276,"Flour, corn, yellow, fine meal, enriched",6.2
790577,"Onions, red, raw",0.94
790646,"Onions, yellow, raw",0.83
1104647,"Garlic, raw",6.62
1104705,"Flour, soy, defatted",51.1
1104766,"Flour, soy, full-fat",38.6
1104812,"Flour, rice, brown",7.19
1104867,"Flour, rice, glutinous",6.69
1104913,"Flour, pastry, unenriched, unbleached",8.75
1104962,"Onions, white, raw",0.89
